,tweet_id,timestamp,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,name,retweet_count,favorite_count,dog_stage,rating
107,871762521631449091,2017-06-05 16:15:56+00:00,nan,nan,,Rover,3678,20787,pupper,1.2
108,871515927908634625,2017-06-04 23:56:03+00:00,nan,nan,,Napolean,3628,20730,doggo,1.2
109,871166179821445120,2017-06-04 00:46:17+00:00,8.41077006473257e+17,4196983835.0,2017-03-13 00:02:39+00:00,Dawn,5991,0,,1.2
111,871032628920680449,2017-06-03 15:55:36+00:00,nan,nan,,Boomer,3999,23255,,1.3
114,870656317836468226,2017-06-02 15:00:16+00:00,nan,nan,,Cody,2817,12819,,1.3
115,870374049280663552,2017-06-01 20:18:38+00:00,nan,nan,,Zoey,27680,85011,,1.3
116,870308999962521604,2017-06-01 16:00:09+00:00,nan,nan,,Rumble,4384,22453,,1.3
117,870063196459192321,2017-05-31 23:43:25+00:00,nan,nan,,Clifford,8840,37771,,1.4
118,869988702071779329,2017-05-31 18:47:24+00:00,8.591969789027738e+17,4196983835.0,2017-05-02 00:04:57+00:00,quite,25661,0,,1.2
119,869772420881756160,2017-05-31 04:27:59+00:00,nan,nan,,Dewey,10663,43710,,1.3
120,869702957897576449,2017-05-30 23:51:58+00:00,nan,nan,,Stanley,6728,29116,,1.3
121,869596645499047938,2017-05-30 16:49:31+00:00,nan,nan,,Scout,3327,16476,doggo,1.2
122,869227993411051520,2017-05-29 16:24:37+00:00,nan,nan,,Gizmo,4023,21112,,1.3
123,868880397819494401,2017-05-28 17:23:24+00:00,nan,nan,,Walter,12518,55098,,1.4
124,868639477480148993,2017-05-28 01:26:04+00:00,8.685522785248379e+17,4196983835.0,2017-05-27 19:39:34+00:00,Cooper,2240,0,,1.2
126,868552278524837888,2017-05-27 19:39:34+00:00,nan,nan,,Cooper,2240,10539,,1.2
128,867774946302451713,2017-05-25 16:10:44+00:00,nan,nan,,Harold,7788,35179,,1.3
129,867421006826221569,2017-05-24 16:44:18+00:00,nan,nan,,Shikha,2697,16755,puppo,1.2
132,866816280283807744,2017-05-23 00:41:20+00:00,8.664507055314575e+17,4196983835.0,2017-05-22 00:28:40+00:00,Jamesy,32883,0,pupper,1.3
134,866686824827068416,2017-05-22 16:06:55+00:00,nan,nan,,Lili,3727,20070,,1.2
135,866450705531457537,2017-05-22 00:28:40+00:00,nan,nan,,Jamesy,32883,106827,pupper,1.3
136,866334964761202691,2017-05-21 16:48:45+00:00,nan,nan,,Coco,15546,54720,,1.2
138,865718153858494464,2017-05-19 23:57:46+00:00,nan,nan,,Boomer,6008,26640,,1.3
139,865359393868664832,2017-05-19 00:12:11+00:00,nan,nan,,Sammy,5384,27530,,1.3
140,865006731092295680,2017-05-18 00:50:50+00:00,nan,nan,,Nelly,8209,29063,,1.3
142,864279568663928832,2017-05-16 00:41:21+00:00,nan,nan,,Meatball,3266,15195,,1.2
143,864197398364647424,2017-05-15 19:14:50+00:00,nan,nan,,Paisley,9616,31459,,1.3
144,863907417377173506,2017-05-15 00:02:33+00:00,nan,nan,,Albus,4441,21477,,1.3
145,863553081350529029,2017-05-14 00:34:33+00:00,nan,nan,,Neptune,4489,15935,,1.3
146,863471782782697472,2017-05-13 19:11:30+00:00,8.630624715311677e+17,4196983835.0,2017-05-12 16:05:02+00:00,Quinn,2687,0,,1.3
147,863432100342583297,2017-05-13 16:33:49+00:00,nan,nan,,Belle,5664,24829,,1.2
150,863062471531167744,2017-05-12 16:05:02+00:00,nan,nan,,Quinn,2687,8945,,1.3
151,862831371563274240,2017-05-12 00:46:44+00:00,nan,nan,,Zooey,5457,20011,,1.3
152,862722525377298433,2017-05-11 17:34:13+00:00,nan,nan,,Dave,3809,17779,,1.1
153,862457590147678208,2017-05-11 00:01:27+00:00,nan,nan,,Jersey,5388,21492,,1.3
156,861383897657036800,2017-05-08 00:54:59+00:00,nan,nan,,Hobbes,11528,37744,,1.3
158,861005113778896900,2017-05-06 23:49:50+00:00,nan,nan,,Burt,4119,17538,,1.2
159,860981674716409858,2017-05-06 22:16:42+00:00,8.605637731402097e+17,4196983835.0,2017-05-05 18:36:06+00:00,Lorenzo,2334,0,,1.3
161,860563773140209665,2017-05-05 18:36:06+00:00,nan,nan,,Lorenzo,2334,7878,,1.3
162,860524505164394496,2017-05-05 16:00:04+00:00,nan,nan,,Carl,5698,24678,,1.3
163,860276583193509888,2017-05-04 23:34:55+00:00,nan,nan,,Jordy,3745,19154,,1.2
166,859924526012018688,2017-05-04 00:15:58+00:00,nan,nan,,Milky,4349,20021,,1.2
167,859851578198683649,2017-05-03 19:26:06+00:00,nan,nan,,Trooper,3780,16105,,1.3
169,859196978902773760,2017-05-02 00:04:57+00:00,nan,nan,,quite,25661,75193,,1.2
171,858860390427611136,2017-05-01 01:47:28+00:00,8.395493263596708e+17,4196983835.0,2017-03-08 18:52:12+00:00,Winston,8805,0,,1.2
173,858471635011153920,2017-04-30 00:02:42+00:00,nan,nan,,Sophie,5271,22640,,1.3
174,858107933456039936,2017-04-28 23:57:28+00:00,nan,nan,,Wyatt,3154,16524,,1.2
175,857989990357356544,2017-04-28 16:08:49+00:00,nan,nan,,Rosie,2812,16952,,1.2
176,857746408056729600,2017-04-28 00:00:54+00:00,nan,nan,,Thor,11524,36021,,1.3
178,857263160327368704,2017-04-26 16:00:39+00:00,nan,nan,,Oscar,4934,21041,,1.3
181,857029823797047296,2017-04-26 00:33:27+00:00,nan,nan,,Zeke,4364,19910,,1.2
182,856602993587888130,2017-04-24 20:17:23+00:00,8.44704788403114e+17,4196983835.0,2017-03-23 00:18:10+00:00,Luna,11633,0,,1.3
183,856543823941562368,2017-04-24 16:22:16+00:00,nan,nan,,Callie,3131,17135,,1.2
187,856282028240666624,2017-04-23 23:01:59+00:00,nan,nan,,Cermet,6841,29086,,1.4
193,855459453768019968,2017-04-21 16:33:22+00:00,nan,nan,,quite,8987,31657,,1.2
194,855245323840757760,2017-04-21 02:22:29+00:00,8.421635325903749e+17,4196983835.0,2017-03-16 00:00:07+00:00,George,6568,0,,1.2
196,854732716440526848,2017-04-19 16:25:34+00:00,nan,nan,,Marlee,6690,24188,,1.2
197,854482394044301312,2017-04-18 23:50:52+00:00,nan,nan,,Arya,7608,31131,,1.3
198,854365224396361728,2017-04-18 16:05:17+00:00,nan,nan,,Einstein,5159,20046,,1.3
201,853760880890318849,2017-04-17 00:03:50+00:00,nan,nan,,Alice,6403,30414,,1.2
203,853299958564483072,2017-04-15 17:32:18+00:00,nan,nan,,Rumpole,3928,16508,,1.3
205,852912242202992640,2017-04-14 15:51:39+00:00,nan,nan,,Benny,2037,9658,,1.2
206,852672615818899456,2017-04-13 23:59:28+00:00,nan,nan,,Aspen,2388,15939,,1.2
207,852553447878664193,2017-04-13 16:05:56+00:00,nan,nan,,Jarod,3885,17492,,1.3
208,852311364735569921,2017-04-13 00:03:59+00:00,nan,nan,,Wiggles,10961,35325,,1.3
209,852226086759018497,2017-04-12 18:25:07+00:00,nan,nan,,General,7570,21378,,1.4
210,852189679701164033,2017-04-12 16:00:27+00:00,nan,nan,,Sailor,1741,12217,,1.2
211,851953902622658560,2017-04-12 00:23:33+00:00,8.29374341691347e+17,4196983835.0,2017-02-08 17:00:26+00:00,Astrid,10706,0,doggo,1.3
214,851464819735769094,2017-04-10 16:00:07+00:00,nan,nan,,Iggy,7855,25944,,1.4
215,851224888060895234,2017-04-10 00:06:42+00:00,nan,nan,,Snoop,6350,22090,,1.3
216,850753642995093505,2017-04-08 16:54:09+00:00,nan,nan,,Kyle,10352,33348,,1.1
217,850380195714523136,2017-04-07 16:10:12+00:00,nan,nan,,Leo,2915,13994,,1.3
219,850145622816686080,2017-04-07 00:38:06+00:00,nan,nan,,Riley,4244,17519,,1.1
220,850019790995546112,2017-04-06 16:18:05+00:00,nan,nan,,Boomer,5459,21944,pupper,1.2
222,849668094696017920,2017-04-05 17:00:34+00:00,8.331246945974436e+17,4196983835.0,2017-02-19 01:23:00+00:00,Gidget,5513,0,pupper,1.2
223,849412302885593088,2017-04-05 00:04:08+00:00,nan,nan,,Noosh,3487,17039,,1.2
225,849051919805034497,2017-04-04 00:12:06+00:00,nan,nan,,Kevin,7396,32617,,1.3
227,848324959059550208,2017-04-02 00:03:26+00:00,nan,nan,,Odin,4037,20229,,1.2
229,848212111729840128,2017-04-01 16:35:01+00:00,nan,nan,,Jerry,3444,17618,,0.6
230,847978865427394560,2017-04-01 01:08:10+00:00,8.323698773316936e+17,4196983835.0,2017-02-16 23:23:38+00:00,Charlie,3652,0,,1.1
232,847962785489326080,2017-04-01 00:04:17+00:00,nan,nan,,Georgie,5730,25296,,1.0
233,847842811428974592,2017-03-31 16:07:33+00:00,nan,nan,,Rontu,1522,5935,,1.2
235,847606175596138505,2017-03-31 00:27:14+00:00,nan,nan,,Cannon,3774,20208,,1.2
236,847251039262605312,2017-03-30 00:56:03+00:00,nan,nan,,Furzey,4800,22036,,1.2
237,847157206088847362,2017-03-29 18:43:12+00:00,nan,nan,,Daisy,6572,21588,,1.1
239,846874817362120707,2017-03-29 00:01:05+00:00,nan,nan,,Tuck,4404,21685,,1.3
240,846514051647705089,2017-03-28 00:07:32+00:00,nan,nan,,Barney,13076,48410,doggo,1.3
242,846153765933735936,2017-03-27 00:15:53+00:00,nan,nan,,Vixen,10226,34394,,1.3
244,846042936437604353,2017-03-26 16:55:29+00:00,nan,nan,,Jarvis,3224,17256,,1.2
248,845397057150107648,2017-03-24 22:08:59+00:00,nan,nan,,Mimosa,2072,8241,doggo,1.3
249,845306882940190720,2017-03-24 16:10:40+00:00,nan,nan,,Pickles,6039,25225,pupper,1.2
250,845098359547420673,2017-03-24 02:22:04+00:00,7.733088242540298e+17,4196983835.0,2016-09-06 23:56:05+00:00,Bungalo,8640,0,,1.2
252,844973813909606400,2017-03-23 18:07:10+00:00,nan,nan,,Brady,3617,16361,,1.2
253,844704788403113984,2017-03-23 00:18:10+00:00,nan,nan,,Luna,11633,42022,,1.3
254,844580511645339650,2017-03-22 16:04:20+00:00,nan,nan,,Charlie,3533,17871,,1.1
255,844223788422217728,2017-03-21 16:26:50+00:00,nan,nan,,Margo,2450,14753,,1.2
257,843856843873095681,2017-03-20 16:08:44+00:00,nan,nan,,Sadie,5220,23211,,1.2
258,843604394117681152,2017-03-19 23:25:35+00:00,nan,nan,,Hank,3081,18310,,1.1
259,843235543001513987,2017-03-18 22:59:54+00:00,nan,nan,,Tycho,6852,23315,,1.3
260,842892208864923648,2017-03-18 00:15:37+00:00,8.071068405092147e+17,4196983835.0,2016-12-09 06:17:20+00:00,Stephan,56625,0,,1.3
261,842846295480000512,2017-03-17 21:13:10+00:00,nan,nan,,Charlie,4023,16440,,1.3
262,842765311967449089,2017-03-17 15:51:22+00:00,nan,nan,,Indie,1439,7321,,1.2
263,842535590457499648,2017-03-17 00:38:32+00:00,nan,nan,,Winnie,3937,19637,,1.3
264,842163532590374912,2017-03-16 00:00:07+00:00,nan,nan,,George,6568,26569,,1.2
265,842115215311396866,2017-03-15 20:48:07+00:00,nan,nan,,Bentley,3386,15204,,1.2
266,841833993020538882,2017-03-15 02:10:39+00:00,8.174238601360835e+17,4196983835.0,2017-01-06 17:33:29+00:00,Ken,17504,0,,1.3
267,841680585030541313,2017-03-14 16:01:03+00:00,nan,nan,,Penny,8748,27854,,1.2
270,841314665196081154,2017-03-13 15:47:01+00:00,nan,nan,,Max,5312,17305,,1.3
271,841077006473256960,2017-03-13 00:02:39+00:00,nan,nan,,Dawn,5991,24926,,1.2
272,840761248237133825,2017-03-12 03:07:56+00:00,8.406323370628628e+17,4196983835.0,2017-03-11 18:35:42+00:00,Maddie,1972,0,,1.2
273,840728873075638272,2017-03-12 00:59:17+00:00,6.671521640794235e+17,4196983835.0,2015-11-19 01:27:25+00:00,Pipsy,18285,0,,1.2
276,840632337062862849,2017-03-11 18:35:42+00:00,nan,nan,,Maddie,1972,9761,,1.2
278,840268004936019968,2017-03-10 18:27:58+00:00,nan,nan,,Monty,6497,20950,,1.2
279,839990271299457024,2017-03-10 00:04:21+00:00,nan,nan,,Sojourner,2597,14640,,1.3
280,839549326359670784,2017-03-08 18:52:12+00:00,nan,nan,,Winston,8805,29957,,1.2
282,839239871831150596,2017-03-07 22:22:32+00:00,nan,nan,,Odie,7422,29684,,1.3
284,838921590096166913,2017-03-07 01:17:48+00:00,nan,nan,,Arlo,2357,12183,,1.3
286,838831947270979586,2017-03-06 19:21:35+00:00,7.838399664052306e+17,4196983835.0,2016-10-06 01:23:05+00:00,Riley,12643,0,,1.3
287,838561493054533637,2017-03-06 01:26:54+00:00,nan,nan,,Walter,1504,11892,,1.3
288,838476387338051585,2017-03-05 19:48:43+00:00,nan,nan,,Stanley,5484,24664,,1.3
289,838201503651401729,2017-03-05 01:36:26+00:00,8.207497168456868e+17,4196983835.0,2017-01-15 21:49:15+00:00,Sunny,11525,0,,1.3
292,838083903487373313,2017-03-04 17:49:08+00:00,nan,nan,,Daisy,3582,19183,,1.3
294,837482249356513284,2017-03-03 01:58:22+00:00,nan,nan,,Waffles,495,4204,,1.3
295,837471256429613056,2017-03-03 01:14:41+00:00,nan,nan,,Vincent,2631,13967,,1.2
296,837366284874571778,2017-03-02 18:17:34+00:00,nan,nan,,Lucy,6005,23074,,1.3
297,837110210464448512,2017-03-02 01:20:01+00:00,nan,nan,,Clark,2731,17480,pupper,1.3
299,836989968035819520,2017-03-01 17:22:13+00:00,nan,nan,,Mookie,2610,13879,,1.2
300,836753516572119041,2017-03-01 01:42:39+00:00,nan,nan,,Meera,5237,21029,doggo,1.2
301,836677758902222849,2017-02-28 20:41:37+00:00,nan,nan,,Oliver,2522,13782,,1.1
303,836397794269200385,2017-02-28 02:09:08+00:00,8.178278394877379e+17,4196983835.0,2017-01-07 20:18:46+00:00,Buddy,31314,0,,1.3
304,836380477523124226,2017-02-28 01:00:19+00:00,nan,nan,,Ava,3337,16037,pupper,1.2
305,836260088725786625,2017-02-27 17:01:56+00:00,nan,nan,,Lucy,4850,23177,,1.3
307,835685285446955009,2017-02-26 02:57:52+00:00,7.869630643735347e+17,4196983835.0,2016-10-14 16:13:10+00:00,Rory,9327,0,,1.2
308,835574547218894849,2017-02-25 19:37:50+00:00,nan,nan,,Eli,4121,19447,,1.1
309,835536468978302976,2017-02-25 17:06:32+00:00,8.35264098648617e+17,4196983835.0,2017-02-24 23:04:14+00:00,Lola,1939,0,,1.2
311,835297930240217089,2017-02-25 01:18:40+00:00,nan,nan,,Ash,3381,17847,,1.2
312,835264098648616962,2017-02-24 23:04:14+00:00,nan,nan,,Lola,1939,8503,,1.2
316,834931633769889797,2017-02-24 01:03:08+00:00,nan,nan,,Tucker,1878,11838,,1.2
317,834786237630337024,2017-02-23 15:25:23+00:00,nan,nan,,Tobi,6159,22943,,1.3
319,834477809192075265,2017-02-22 18:59:48+00:00,8.295019951909847e+17,4196983835.0,2017-02-09 01:27:41+00:00,Leo,12224,0,,1.2
320,834458053273591808,2017-02-22 17:41:18+00:00,nan,nan,,Chester,1899,10512,,1.2
321,834209720923721728,2017-02-22 01:14:30+00:00,nan,nan,,Wilson,5476,22594,,1.2
322,834167344700198914,2017-02-21 22:26:07+00:00,nan,nan,,Sunshine,4130,17194,,1.1
324,834086379323871233,2017-02-21 17:04:24+00:00,nan,nan,,Lipton,2512,14296,,1.2
325,833863086058651648,2017-02-21 02:17:06+00:00,nan,nan,,Bentley,2729,14661,,1.2
326,833826103416520705,2017-02-20 23:50:09+00:00,nan,nan,,Charlie,3904,16728,,1.3
327,833732339549220864,2017-02-20 17:37:34+00:00,8.324343582922097e+17,44667502.0,2017-02-17 03:39:51+00:00,Gabby,251,0,,1.2
328,833722901757046785,2017-02-20 17:00:04+00:00,nan,nan,,Bronte,3636,22585,,1.3
329,833479644947025920,2017-02-20 00:53:27+00:00,nan,nan,,Poppy,2357,16258,,1.3
330,833124694597443584,2017-02-19 01:23:00+00:00,nan,nan,,Gidget,5513,22133,pupper,1.2
331,832998151111966721,2017-02-18 17:00:10+00:00,nan,nan,,Rhino,2522,14549,doggo,1.3
333,832757312314028032,2017-02-18 01:03:09+00:00,nan,nan,,Willow,4127,18423,,1.3
335,832645525019123713,2017-02-17 17:38:57+00:00,nan,nan,,not,594,3195,,1.0
336,832636094638288896,2017-02-17 17:01:29+00:00,nan,nan,,Orion,3220,17379,,1.2
337,832397543355072512,2017-02-17 01:13:34+00:00,nan,nan,,Eevee,2548,13126,,1.2
338,832369877331693569,2017-02-16 23:23:38+00:00,nan,nan,,Charlie,3652,18792,,1.1
339,832273440279240704,2017-02-16 17:00:25+00:00,nan,nan,,Smiley,2673,12385,doggo,1.4
341,832215726631055365,2017-02-16 13:11:05+00:00,7.932864763017994e+17,4196983835.0,2016-11-01 03:00:09+00:00,Moreton,10723,0,,1.3
343,832040443403784192,2017-02-16 01:34:34+00:00,7.69940425801171e+17,4196983835.0,2016-08-28 16:51:16+00:00,Klein,11131,0,,1.2
344,832032802820481025,2017-02-16 01:04:13+00:00,nan,nan,,Miguel,4746,13887,doggo,1.2
345,831939777352105988,2017-02-15 18:54:34+00:00,nan,nan,,Emanuel,7031,26404,doggo,1.2
347,831911600680497154,2017-02-15 17:02:36+00:00,nan,nan,,Kuyu,7458,30380,,1.4
348,831670449226514432,2017-02-15 01:04:21+00:00,nan,nan,,Daisy,2059,11469,,1.3
350,831552930092285952,2017-02-14 17:17:22+00:00,nan,nan,,Dutch,2632,9872,,1.3
351,831322785565769729,2017-02-14 02:02:51+00:00,nan,nan,,Pete,1744,10042,doggo,1.2
353,831309418084069378,2017-02-14 01:09:44+00:00,nan,nan,,Scooter,2786,12819,,1.2
354,831262627380748289,2017-02-13 22:03:49+00:00,nan,nan,,Tucker,2350,13066,,1.2
355,830956169170665475,2017-02-13 01:46:03+00:00,nan,nan,,Reggie,1735,8735,,1.2
356,830583320585068544,2017-02-12 01:04:29+00:00,nan,nan,,Lilly,19297,73397,,1.3
357,830173239259324417,2017-02-10 21:54:58+00:00,8.09220051211604e+17,4196983835.0,2016-12-15 02:14:29+00:00,Kyro,6554,0,,1.2
358,830097400375152640,2017-02-10 16:53:37+00:00,nan,nan,,Samson,3455,10804,,1.3
359,829878982036299777,2017-02-10 02:25:42+00:00,8.269586533285929e+17,4196983835.0,2017-02-02 01:01:21+00:00,Loki,5757,0,doggo,1.2
360,829861396166877184,2017-02-10 01:15:49+00:00,nan,nan,,Mia,2243,13441,,1.2
361,829501995190984704,2017-02-09 01:27:41+00:00,nan,nan,,Leo,12224,34913,,1.2
363,829374341691346946,2017-02-08 17:00:26+00:00,nan,nan,,Astrid,10706,38074,doggo,1.3
364,829141528400556032,2017-02-08 01:35:19+00:00,nan,nan,,Malcolm,8530,26952,,1.2
365,829011960981237760,2017-02-07 17:00:28+00:00,nan,nan,,Dexter,18627,58302,,1.3
366,828801551087042563,2017-02-07 03:04:22+00:00,8.102541084311552e+17,4196983835.0,2016-12-17 22:43:27+00:00,Gus,3901,0,,1.2
367,828770345708580865,2017-02-07 01:00:22+00:00,nan,nan,,Alfie,6746,28085,,1.3
368,828708714936930305,2017-02-06 20:55:28+00:00,nan,nan,,Fiona,12882,40241,,1.0
369,828650029636317184,2017-02-06 17:02:17+00:00,nan,nan,,one,1544,10467,,1.4
370,828409743546925057,2017-02-06 01:07:28+00:00,nan,nan,,Mutt,1305,6898,,1.2
